date,invoice,cod_customer,cod_product,amount
2018-01-04,38,1745,6,3
2018-01-04,38,1745,8,4
2018-01-04,38,1745,11,4
2018-01-04,39,1900,5,1
2018-01-04,39,1900,6,5
2018-01-04,40,1953,10,1
2018-01-05,41,1086,6,3
2018-01-05,41,1086,9,3
2018-01-05,42,1132,1,9
2018-01-05,43,1214,8,1
2018-01-05,44,1223,5,4
2018-01-05,44,1223,6,1
2018-01-05,44,1223,7,4
2018-01-05,44,1223,10,5
2018-01-05,44,1223,11,2
2018-01-05,45,1255,7,3
2018-01-05,46,1267,1,4
2018-01-05,46,1267,3,3
2018-01-05,47,1490,8,2
2018-01-05,48,1505,7,2
2018-01-05,49,1708,11,5
2018-01-05,50,1828,11,3
2018-01-05,51,1931,1,2
2018-01-05,52,1970,1,1
2018-01-05,52,1970,4,5
2018-01-06,53,1373,9,3
2018-01-06,54,1612,9,8
2018-01-06,55,1678,3,1
2018-01-06,56,1683,8,3
2018-01-06,56,1683,9,3
2018-01-06,57,1920,6,4
2018-01-06,57,1920,10,9
2018-01-06,58,1958,10,1
2018-01-07,59,1052,1,4
2018-01-07,60,1196,6,6
2018-01-07,61,1303,1,3
2018-01-07,62,1317,9,4
2018-01-07,62,1317,10,4
2018-01-07,63,1366,11,2
2018-01-07,64,1566,2,1
2018-01-07,65,1752,10,4
2018-01-07,66,1859,4,4
2018-01-07,66,1859,8,2
2018-01-07,67,1871,11,1
2018-01-07,68,1904,4,2
2018-01-07,69,1984,6,6
2018-01-07,69,1984,8,4
2018-01-07,69,1984,9,3
2018-01-08,70,1001,2,2
2018-01-08,70,1001,7,2
2018-01-08,71,1005,2,3
2018-01-08,72,1096,5,1
2018-01-08,72,1096,9,1
2018-01-08,73,1103,6,5
2018-01-08,74,1274,8,3
2018-01-08,75,1294,2,4
2018-01-08,76,1800,5,3
2018-01-08,76,1800,6,1
2018-01-08,77,1854,3,8
2018-01-08,77,1854,7,2
2018-01-08,77,1854,8,7
2018-01-08,78,1882,7,7
2018-01-08,78,1882,8,2
2018-01-08,79,1983,2,3
2018-01-08,79,1983,5,1
2018-01-08,79,1983,6,5
2018-01-08,79,1983,7,7
2018-01-08,79,1983,8,8
2018-01-08,79,1983,11,5
2018-01-09,80,1151,2,2
2018-01-09,80,1151,9,4
2018-01-09,80,1151,10,3
2018-01-09,81,1219,6,6
2018-01-09,81,1219,10,1
2018-01-09,82,1475,6,2
2018-01-09,83,1699,11,3
2018-01-09,84,1820,10,4
2018-01-09,85,1860,1,3
2018-01-09,85,1860,6,1
2018-01-09,85,1860,9,6
2018-01-09,86,1987,2,3
2018-01-10,87,1263,2,2
2018-01-10,88,1413,3,1
2018-01-10,89,1530,4,2
2018-01-10,89,1530,10,1
2018-01-10,89,1530,11,4
2018-01-10,90,1652,7,3
2018-01-10,91,1695,10,3
2018-01-10,92,1956,1,4
2018-01-10,92,1956,11,4
2018-01-11,93,1046,7,2
2018-01-11,94,1262,1,1
2018-01-11,95,1310,11,7
2018-01-11,96,1680,11,3
2018-01-11,97,1813,4,2
2018-01-11,98,1973,8,2
2018-01-11,99,1982,8,1
2018-01-11,100,1987,7,4
2018-01-11,100,1987,9,3
2018-01-12,101,1117,4,2
2018-01-12,101,1117,8,5
2018-01-12,102,1207,2,4
2018-01-12,102,1207,7,1
2018-01-12,102,1207,8,1
2018-01-12,103,1229,5,1
2018-01-12,104,1345,1,1
2018-01-12,104,1345,5,3
2018-01-12,104,1345,6,6
2018-01-12,104,1345,9,3
2018-01-12,104,1345,10,9
2018-01-12,104,1345,11,3
2018-01-12,105,1388,6,2
2018-01-12,106,1544,4,4
2018-01-12,106,1544,6,7
2018-01-12,106,1544,7,1
2018-01-12,106,1544,8,2
2018-01-12,107,1596,8,2
2018-01-12,108,1613,4,4
2018-01-12,109,1615,5,4
2018-01-12,110,1652,4,3
2018-01-12,111,1674,5,1
2018-01-12,112,1866,4,3
2018-01-12,113,1972,4,1
2018-01-12,114,1973,10,4
2018-01-13,115,1151,11,4
2018-01-13,116,1167,1,1
2018-01-13,117,1236,2,4
2018-01-13,118,1415,1,3
2018-01-13,118,1415,2,5
2018-01-13,118,1415,11,4
2018-01-13,119,1422,8,5
2018-01-13,120,1646,8,4
2018-01-13,121,1658,4,5
2018-01-13,122,1811,6,2
2018-01-14,123,1317,9,3
2018-01-14,124,1516,7,9
2018-01-14,125,1609,1,6
2018-01-14,125,1609,2,2
2018-01-14,125,1609,5,3
2018-01-14,126,1782,7,2
2018-01-14,127,1866,8,4
2018-01-14,128,1990,2,3
2018-01-14,128,1990,9,6
2018-01-15,129,1013,7,2
2018-01-15,130,1015,7,1
2018-01-15,130,1015,8,2
2018-01-15,131,1126,8,2
2018-01-15,132,1273,1,8
2018-01-15,132,1273,2,2
2018-01-15,132,1273,11,1
2018-01-15,133,1506,2,3
2018-01-15,134,1567,11,1
2018-01-15,135,1983,8,4
2018-01-15,135,1983,10,3
2018-01-16,136,1021,10,7
2018-01-16,137,1040,3,5
2018-01-16,137,1040,8,3
2018-01-16,138,1066,1,3
2018-01-16,138,1066,5,1
2018-01-16,138,1066,9,7
2018-01-16,139,1091,2,2
2018-01-16,140,1096,7,1
2018-01-16,141,1133,1,2
2018-01-16,141,1133,6,8
2018-01-16,142,1339,1,2
2018-01-16,142,1339,2,2
2018-01-16,142,1339,3,2
2018-01-16,142,1339,4,3
2018-01-16,142,1339,6,4
2018-01-16,142,1339,8,9
2018-01-16,143,1528,1,7
2018-01-16,143,1528,2,2
2018-01-16,143,1528,5,8
2018-01-16,143,1528,7,2
2018-01-16,143,1528,8,4
2018-01-16,144,1538,11,3
2018-01-16,145,1553,1,2
2018-01-16,146,1729,9,3
2018-01-16,147,1928,1,2
2018-01-16,147,1928,4,1
2018-01-16,147,1928,11,1
2018-01-16,148,1962,11,3
2018-01-16,149,1975,10,1
2018-01-17,150,1163,1,3
2018-01-17,150,1163,10,8
2018-01-17,151,1367,2,3
2018-01-17,151,1367,10,7
2018-01-17,151,1367,11,2
2018-01-17,152,1409,1,3
2018-01-17,152,1409,3,3
2018-01-17,153,1963,8,3
2018-01-18,154,1020,3,1
2018-01-18,154,1020,8,1
2018-01-18,155,1194,6,1
2018-01-18,156,1282,4,9
2018-01-18,157,1286,9,3
2018-01-18,158,1512,5,9
2018-01-18,158,1512,8,3
2018-01-18,158,1512,11,4
2018-01-18,159,1703,5,3
2018-01-18,160,1857,4,2
2018-01-19,161,1043,5,5
2018-01-19,162,1167,1,1
2018-01-19,162,1167,2,3
2018-01-19,162,1167,5,2
2018-01-19,162,1167,7,2
2018-01-19,162,1167,11,1
2018-01-19,163,1199,10,2
2018-01-19,164,1222,7,3
2018-01-19,164,1222,9,1
2018-01-19,165,1732,2,8
2018-01-19,165,1732,10,3
2018-01-19,166,1779,5,3
2018-01-19,167,1845,3,4
2018-01-19,167,1845,11,2
2018-01-19,168,1878,2,1
2018-01-19,168,1878,3,3
2018-01-19,169,1905,10,4
2018-01-19,170,1953,5,1
2018-01-19,171,1960,4,2
2018-01-19,172,1976,7,2
2018-01-20,173,1112,3,3
2018-01-20,173,1112,6,7
2018-01-20,174,1134,4,9
2018-01-20,175,1374,1,2
2018-01-20,175,1374,4,7
2018-01-20,176,1469,3,4
2018-01-20,176,1469,5,9
2018-01-20,177,1478,7,1
2018-01-20,177,1478,9,1
2018-01-20,178,1483,8,1
2018-01-20,179,1489,5,5
2018-01-20,180,1666,10,4
2018-01-20,181,1709,5,1
2018-01-20,182,1815,9,1
2018-01-21,183,1226,4,3
2018-01-21,184,1324,1,2
2018-01-21,184,1324,10,7
2018-01-21,185,1416,2,1
2018-01-21,186,1508,1,6
2018-01-21,186,1508,5,2
2018-01-21,186,1508,9,2
2018-01-21,187,1664,2,3
2018-01-21,188,1684,1,2
2018-01-22,189,1112,10,2
2018-01-22,190,1364,3,9
2018-01-22,190,1364,5,4
2018-01-22,191,1580,2,1
2018-01-22,191,1580,3,7
2018-01-22,191,1580,7,2
2018-01-22,191,1580,10,8
2018-01-22,192,1588,5,1
2018-01-22,192,1588,8,3
2018-01-22,193,1630,1,3
2018-01-22,193,1630,5,8
2018-01-22,193,1630,6,3
2018-01-22,193,1630,8,1
2018-01-22,194,1818,2,1
2018-01-22,194,1818,4,2
2018-01-22,195,1882,9,1
2018-01-23,196,1139,2,4
2018-01-23,196,1139,11,1
2018-01-23,197,1199,9,3
2018-01-23,197,1199,10,1
2018-01-23,198,1232,8,9
2018-01-23,199,1536,6,4
2018-01-23,200,1646,2,2
2018-01-23,200,1646,10,4
2018-01-23,201,1700,2,1
2018-01-23,201,1700,10,2
2018-01-23,202,1933,8,4
2018-01-23,203,1943,8,1
2018-01-23,204,1963,5,4
2018-01-23,204,1963,11,7
2018-01-24,205,1252,1,2
2018-01-24,205,1252,3,2
2018-01-24,205,1252,6,4
2018-01-24,205,1252,7,3
2018-01-24,205,1252,9,4
2018-01-24,205,1252,10,9
2018-01-24,205,1252,11,9
2018-01-24,206,1277,6,1
2018-01-24,206,1277,8,4
2018-01-24,206,1277,9,8
2018-01-24,207,1371,4,1
2018-01-24,208,1403,5,3
2018-01-24,209,1494,1,4
2018-01-24,209,1494,2,2
2018-01-24,209,1494,5,3
2018-01-24,209,1494,11,2
2018-01-24,210,1523,7,4
2018-01-24,211,1541,10,1
2018-01-24,212,1746,6,1
2018-01-24,213,1789,7,2
2018-01-24,214,1825,6,1
2018-01-24,215,1828,3,3
2018-01-24,215,1828,5,9
2018-01-24,216,1863,4,4
2018-01-24,216,1863,10,2
2018-01-24,216,1863,11,1
2018-01-25,217,1129,1,7
2018-01-25,217,1129,11,6
2018-01-25,218,1244,6,1
2018-01-25,219,1252,2,1
2018-01-25,219,1252,4,7
2018-01-25,219,1252,9,2
2018-01-25,219,1252,11,3
2018-01-25,220,1402,5,2
2018-01-25,221,1463,5,3
2018-01-25,222,1638,8,3
2018-01-25,222,1638,10,2
2018-01-25,223,1807,5,1
2018-01-25,224,1929,2,3
2018-01-25,225,1966,1,2
2018-01-25,225,1966,8,4
2018-01-26,226,1140,1,2
2018-01-26,226,1140,4,8
2018-01-26,226,1140,10,3
2018-01-26,227,1238,2,1
2018-01-26,227,1238,4,2
2018-01-26,228,1725,6,6
2018-01-26,229,1738,5,2
2018-01-26,230,1789,5,3
2018-01-26,230,1789,6,3
2018-01-26,230,1789,11,2
2018-01-27,231,1133,3,6
2018-01-27,232,1137,4,1
2018-01-27,232,1137,8,1
2018-01-27,232,1137,10,2
2018-01-27,233,1477,6,1
2018-01-27,234,1489,10,4
2018-01-27,235,1533,1,2
2018-01-27,235,1533,3,1
2018-01-27,235,1533,7,2
2018-01-27,236,1681,3,1
2018-01-28,237,1042,7,1
2018-01-28,238,1160,5,9
2018-01-28,238,1160,9,1
2018-01-28,239,1197,3,3
2018-01-28,240,1260,3,2
2018-01-28,241,1341,3,8
2018-01-28,242,1445,6,3
2018-01-28,243,1566,1,3
2018-01-28,244,1676,5,9
2018-01-28,245,1984,4,9
2018-01-29,246,1185,3,7
2018-01-29,246,1185,5,4
2018-01-29,246,1185,11,2
2018-01-29,247,1281,3,4
2018-01-29,248,1284,1,2
2018-01-29,248,1284,4,2
2018-01-29,249,1326,8,1
2018-01-29,250,1411,7,9
2018-01-29,251,1500,1,8
2018-01-29,251,1500,8,1
2018-01-29,251,1500,9,3
2018-01-29,251,1500,10,9
2018-01-29,252,1504,9,1
2018-01-29,253,1649,1,3
2018-01-30,254,1094,4,4
2018-01-30,254,1094,5,4
2018-01-30,254,1094,6,4
2018-01-30,254,1094,11,1
2018-01-30,255,1262,7,4
2018-01-30,256,1352,1,2
2018-01-30,256,1352,3,7
2018-01-30,256,1352,10,3
2018-01-30,257,1417,1,2
2018-01-30,258,1543,1,1
2018-01-30,258,1543,5,4
2018-01-30,259,1597,6,1
2018-01-30,260,1691,2,1
2018-01-30,261,1719,6,2
2018-01-30,262,1887,9,1
2018-01-30,263,1911,3,7
2018-01-30,263,1911,8,1
2018-01-30,264,1967,10,3
2018-01-31,265,1007,1,9
2018-01-31,265,1007,3,8
2018-01-31,266,1376,4,2
2018-01-31,267,1615,4,1
2018-01-31,268,1705,2,2
2018-01-31,269,1733,4,3
2018-01-31,269,1733,6,6
2018-01-31,269,1733,9,2
2018-01-31,270,1771,7,8
2018-01-31,270,1771,8,7
2018-02-01,271,1045,7,1
2018-02-01,271,1045,9,7
2018-02-01,272,1083,2,1
2018-02-01,273,1097,6,2
2018-02-01,273,1097,7,3
2018-02-01,274,1220,1,1
2018-02-01,274,1220,5,1
2018-02-01,275,1455,11,6
2018-02-01,276,1660,10,7
2018-02-01,277,1822,9,2
2018-02-01,278,1873,8,4
2018-02-01,278,1873,10,9
2018-02-01,279,1893,9,5
2018-02-01,280,1896,5,2
2018-02-01,280,1896,6,6
2018-02-01,281,1917,4,1
2018-02-02,282,1020,5,4
2018-02-02,283,1139,6,3
2018-02-02,284,1257,3,5
2018-02-02,285,1327,5,2
2018-02-02,285,1327,9,2
2018-02-02,286,1405,1,2
2018-02-02,286,1405,5,7
2018-02-02,286,1405,6,4
2018-02-02,287,1620,11,1
2018-02-02,288,1627,2,5
2018-02-02,289,1631,6,1
2018-02-02,289,1631,11,1
2018-02-02,290,1946,3,7
2018-02-02,290,1946,4,4
2018-02-02,290,1946,6,4
2018-02-02,290,1946,7,8
2018-02-02,290,1946,10,2
2018-02-03,291,1027,3,8
2018-02-03,292,1116,3,7
2018-02-03,293,1125,1,8
2018-02-03,294,1150,10,4
2018-02-03,295,1305,9,2
2018-02-03,296,1355,3,2
2018-02-03,297,1412,7,4
2018-02-03,298,1461,6,3
2018-02-03,299,1516,5,3
2018-02-03,300,1896,4,1
2018-02-03,300,1896,5,4
2018-02-04,301,1100,6,3
2018-02-04,301,1100,10,4
2018-02-04,302,1165,4,3
2018-02-04,303,1187,4,9
2018-02-04,304,1325,5,3
2018-02-04,304,1325,9,3
2018-02-04,304,1325,10,4
2018-02-04,305,1362,11,3
2018-02-04,306,1814,2,9
2018-02-04,306,1814,7,4
2018-02-04,306,1814,11,4
2018-02-04,307,1876,8,4
2018-02-04,308,1906,10,3
2018-02-04,309,1957,2,3
2018-02-05,310,1038,2,9
2018-02-05,310,1038,4,6
2018-02-05,310,1038,5,3
2018-02-05,310,1038,11,4
2018-02-05,311,1166,2,1
2018-02-05,312,1610,4,1
2018-02-05,313,1768,1,1
2018-02-05,313,1768,3,7
2018-02-05,314,1777,4,6
2018-02-05,315,1830,4,4
2018-02-05,315,1830,5,1
2018-02-05,315,1830,11,3
2018-02-05,316,1835,4,1
2018-02-05,316,1835,8,2
2018-02-05,316,1835,10,1
2018-02-05,317,1871,8,1
2018-02-05,318,1996,2,1
2018-02-06,319,1056,6,6
2018-02-06,320,1061,7,9
2018-02-06,321,1175,10,9
2018-02-06,322,1241,5,3
2018-02-06,323,1303,11,1
2018-02-06,324,1331,3,6
2018-02-06,324,1331,5,4
2018-02-06,325,1554,5,8
2018-02-06,325,1554,7,4
2018-02-06,326,1618,11,3
2018-02-06,327,1707,10,2
2018-02-07,328,1067,9,1
2018-02-07,329,1103,6,6
2018-02-07,330,1164,3,1
2018-02-07,330,1164,10,3
2018-02-07,331,1288,11,4
2018-02-07,332,1519,3,1
2018-02-07,333,1697,4,1
2018-02-07,333,1697,7,3
2018-02-07,334,1780,8,4
2018-02-07,335,1884,10,3
2018-02-07,336,1886,5,2
2018-02-07,336,1886,9,1
2018-02-07,336,1886,10,3
2018-02-08,337,1084,9,1
2018-02-08,337,1084,11,3
2018-02-08,338,1196,2,4
2018-02-08,338,1196,5,9
2018-02-08,338,1196,9,3
2018-02-08,339,1224,4,4
2018-02-08,339,1224,5,2
2018-02-08,339,1224,9,1
2018-02-08,340,1458,8,1
2018-02-08,341,1661,8,2
2018-02-08,342,1789,2,2
2018-02-08,342,1789,10,9
2018-02-08,343,1910,10,2
2018-02-08,344,1935,5,3
2018-02-08,344,1935,7,4
2018-02-09,345,1186,4,4
2018-02-09,346,1435,2,4
2018-02-09,346,1435,10,9
2018-02-09,347,1494,4,1
2018-02-09,348,1803,6,1
2018-02-10,349,1041,3,4
2018-02-10,350,1121,3,3
2018-02-10,350,1121,4,1
2018-02-10,350,1121,10,4
2018-02-10,351,1247,10,4
2018-02-10,352,1324,3,1
2018-02-10,352,1324,10,2
2018-02-10,353,1325,3,1
2018-02-10,354,1409,8,4
2018-02-10,354,1409,10,1
2018-02-10,355,1743,4,2
2018-02-10,355,1743,11,4
2018-02-10,356,1974,3,2
2018-02-10,356,1974,4,4
2018-02-11,357,1041,9,2
2018-02-11,358,1237,4,2
2018-02-11,358,1237,10,4
2018-02-11,359,1253,8,1
2018-02-11,360,1402,2,8
2018-02-11,360,1402,5,4
2018-02-11,360,1402,6,9
2018-02-11,360,1402,9,2
2018-02-11,360,1402,11,3
2018-02-11,361,1432,4,3
2018-02-11,362,1465,3,3
2018-02-11,362,1465,9,2
2018-02-11,363,1649,10,6
2018-02-11,364,1993,8,8
2018-02-12,365,1124,1,4
2018-02-12,365,1124,3,8
2018-02-12,365,1124,8,2
2018-02-12,366,1144,5,9
2018-02-12,366,1144,7,3
2018-02-12,367,1188,8,3
2018-02-12,368,1444,8,4
2018-02-12,369,1547,4,1
2018-02-12,370,1716,8,4
2018-02-12,371,1891,1,4
2018-02-12,371,1891,3,7
2018-02-13,372,1112,3,2
2018-02-13,372,1112,5,6
2018-02-13,372,1112,6,4
2018-02-13,372,1112,9,2
2018-02-13,373,1377,3,2
2018-02-13,373,1377,8,4
2018-02-13,374,1400,4,3
2018-02-13,375,1653,6,1
2018-02-13,376,1710,3,4
2018-02-13,377,1972,8,7
2018-02-14,378,1157,1,9
2018-02-14,379,1171,1,4
2018-02-14,379,1171,3,2
2018-02-14,379,1171,5,3
2018-02-14,379,1171,7,1
2018-02-14,379,1171,9,1
2018-02-14,380,1371,4,5
2018-02-14,381,1454,8,1
2018-02-14,382,1642,5,1
2018-02-14,382,1642,9,9
2018-02-14,383,1893,5,6
2018-02-14,384,1922,1,4
2018-02-14,384,1922,4,8
2018-02-14,384,1922,9,3
2018-02-14,385,1991,1,4
2018-02-14,385,1991,3,1
2018-02-15,386,1006,3,3
2018-02-15,387,1154,1,6
2018-02-15,387,1154,5,1
2018-02-15,387,1154,7,3
2018-02-15,388,1371,7,2
2018-02-15,388,1371,8,1
2018-02-15,389,1597,9,8
2018-02-15,390,1669,2,2
2018-02-15,391,1860,5,2
2018-02-15,392,1927,1,1
2018-02-16,393,1010,9,3
2018-02-16,394,1320,3,8
2018-02-16,394,1320,10,3
2018-02-16,395,1426,3,4
2018-02-16,395,1426,5,2
2018-02-16,396,1519,7,2
2018-02-16,397,1529,4,1
2018-02-16,398,1569,1,2
2018-02-16,398,1569,8,1
2018-02-16,399,1580,4,2
2018-02-16,399,1580,5,3
2018-02-16,400,1626,7,8
2018-02-16,401,1816,2,1
2018-02-16,401,1816,8,3
2018-02-17,402,1197,3,4
2018-02-17,403,1229,8,4
2018-02-17,404,1325,3,2
2018-02-17,404,1325,5,1
2018-02-17,404,1325,8,1
2018-02-17,405,1695,2,1
2018-02-17,406,1710,4,5
2018-02-17,406,1710,5,4
2018-02-17,407,1734,3,7
2018-02-17,407,1734,7,4
2018-02-17,407,1734,8,2
2018-02-17,408,1746,4,8
2018-02-17,408,1746,9,3
2018-02-17,409,1760,8,1
2018-02-18,410,1093,7,4
2018-02-18,410,1093,8,4
2018-02-18,411,1130,6,4
2018-02-18,412,1199,4,7
2018-02-18,412,1199,8,3
2018-02-18,413,1224,10,8
2018-02-18,414,1260,1,4
2018-02-18,414,1260,2,2
2018-02-18,414,1260,10,1
2018-02-18,415,1277,5,1
2018-02-18,415,1277,7,2
2018-02-18,416,1320,1,1
2018-02-18,417,1420,1,3
2018-02-18,417,1420,3,1
2018-02-18,417,1420,7,2
2018-02-18,418,1437,1,2
2018-02-18,418,1437,4,3
2018-02-18,419,1675,1,4
2018-02-18,419,1675,2,3
2018-02-18,419,1675,3,6
2018-02-18,419,1675,4,7
2018-02-18,419,1675,9,3
2018-02-19,420,1048,11,8
2018-02-19,421,1124,8,8
2018-02-19,422,1300,8,1
2018-02-19,423,1341,11,1
2018-02-19,424,1391,3,2
2018-02-19,424,1391,7,4
2018-02-19,425,1833,2,3
2018-02-19,426,1867,10,3
2018-02-19,427,1899,9,1
2018-02-19,427,1899,11,5
2018-02-19,428,1910,4,8
2018-02-19,428,1910,9,1
2018-02-19,429,1912,1,4
2018-02-20,430,1031,11,3
2018-02-20,431,1233,4,8
2018-02-20,432,1296,6,1
2018-02-20,433,1332,2,5
2018-02-20,433,1332,5,3
2018-02-20,433,1332,8,1
2018-02-20,433,1332,10,6
2018-02-20,434,1450,8,9
2018-02-20,435,1462,3,4
2018-02-20,435,1462,9,6
2018-02-20,436,1611,8,1
2018-02-20,437,1986,8,7
2018-02-20,437,1986,11,1
2018-02-21,438,1014,2,8
2018-02-21,438,1014,7,3
2018-02-21,438,1014,8,7
2018-02-21,438,1014,11,3
2018-02-21,439,1487,3,3
2018-02-21,440,1815,9,7
2018-02-21,440,1815,11,3
2018-02-21,441,1831,3,2
2018-02-22,442,1090,3,3
2018-02-22,443,1112,8,2
2018-02-22,443,1112,11,4
2018-02-22,444,1506,1,6
2018-02-22,444,1506,3,4
2018-02-22,444,1506,10,4
2018-02-22,445,1523,11,1
2018-02-22,446,1593,6,4
2018-02-22,447,1847,7,1
2018-02-22,448,1897,3,2
2018-02-23,449,1004,11,2
2018-02-23,450,1025,3,3
2018-02-23,450,1025,11,2
2018-02-23,451,1223,1,4
2018-02-23,451,1223,7,4
2018-02-23,452,1274,1,1
2018-02-23,453,1304,4,6
2018-02-23,453,1304,6,8
2018-02-23,453,1304,8,2
2018-02-23,454,1313,5,3
2018-02-23,455,1322,5,8
2018-02-23,456,1459,10,2
2018-02-23,457,1602,4,5
2018-02-23,457,1602,5,3
2018-02-23,458,1701,1,6
2018-02-23,458,1701,5,2
2018-02-23,458,1701,8,5
2018-02-23,458,1701,11,5
2018-02-23,459,1731,6,6
2018-02-23,460,1745,1,3
2018-02-23,461,1853,8,3
2018-02-23,461,1853,9,1
2018-02-23,462,1911,4,1
2018-02-24,463,1032,3,4
2018-02-24,463,1032,5,1
2018-02-24,464,1313,8,2
2018-02-24,465,1597,3,4
2018-02-24,465,1597,6,4
2018-02-24,466,1960,10,1
2018-02-25,467,1110,11,7
2018-02-25,468,1499,1,2
2018-02-25,469,1511,4,1
2018-02-25,469,1511,5,4
2018-02-25,469,1511,7,9
2018-02-25,470,1865,1,3
2018-02-25,470,1865,6,4
2018-02-25,470,1865,7,3
2018-02-25,471,1895,7,3
2018-02-26,472,1032,9,3
2018-02-26,473,1342,6,4
2018-02-26,474,1360,8,4
2018-02-26,475,1400,7,2
2018-02-26,475,1400,8,2
2018-02-26,476,1500,4,2
2018-02-26,476,1500,5,4
2018-02-26,477,1568,6,2
2018-02-26,478,1599,6,6
2018-02-26,479,1641,6,3
2018-02-26,480,1690,10,3
2018-02-26,481,1736,1,3
2018-02-26,481,1736,8,3
2018-02-26,481,1736,10,7
2018-02-26,482,1793,5,3
2018-02-26,483,1889,9,2
2018-02-26,484,1941,8,1
2018-02-26,485,1965,2,8
2018-02-26,485,1965,5,3
2018-02-26,486,1999,6,4
2018-02-27,487,1242,3,3
2018-02-27,487,1242,5,4
2018-02-27,487,1242,6,3
2018-02-27,488,1308,10,2
2018-02-27,489,1354,5,2
2018-02-27,490,1576,1,1
2018-02-27,491,1890,7,6
2018-02-28,492,1097,6,3
2018-02-28,493,1143,4,4
2018-02-28,493,1143,11,1
2018-02-28,494,1482,3,3
2018-02-28,495,1531,8,8
2018-02-28,496,1571,11,1
2018-02-28,497,1778,1,2
2018-02-28,497,1778,2,1
2018-02-28,498,1813,8,3
2018-02-28,498,1813,10,1
2018-02-28,498,1813,11,2
2018-02-28,499,1916,3,4
2018-02-28,500,1940,5,9
2018-03-01,501,1250,3,2
2018-03-01,502,1325,7,2
2018-03-01,503,1454,5,2
2018-03-01,504,1608,2,6
2018-03-01,504,1608,4,9
2018-03-01,505,1630,3,9
2018-03-01,506,1696,4,3
2018-03-01,506,1696,10,2
2018-03-01,507,1797,2,4
2018-03-01,507,1797,5,1
2018-03-01,507,1797,8,3
2018-03-01,508,1868,9,8
2018-03-01,508,1868,11,3
2018-03-02,509,1058,5,7
2018-03-02,510,1158,5,2
2018-03-02,511,1442,2,1
2018-03-02,511,1442,8,4
2018-03-02,512,1615,5,6
2018-03-02,512,1615,9,2
2018-03-02,512,1615,11,8
2018-03-02,513,1647,6,7
2018-03-02,513,1647,11,4
2018-03-02,514,1661,1,5
2018-03-02,515,1800,2,4
2018-03-02,515,1800,5,3
2018-03-02,515,1800,6,7
2018-03-02,515,1800,10,7
2018-03-03,516,1156,6,7
2018-03-03,516,1156,7,6
2018-03-03,517,1413,1,2
2018-03-03,517,1413,11,2
2018-03-03,518,1456,3,2
2018-03-03,519,1556,4,4
2018-03-03,519,1556,9,3
2018-03-03,520,1811,1,4
2018-03-04,521,1011,4,2
2018-03-04,522,1317,7,9
2018-03-04,523,1384,1,2
2018-03-04,524,1418,7,8
2018-03-04,525,1547,2,2
2018-03-04,525,1547,9,8
2018-03-04,526,1606,5,3
2018-03-04,527,1677,4,3
2018-03-04,527,1677,9,4
2018-03-04,528,1682,2,5
2018-03-04,529,1697,6,1
2018-03-04,530,1735,2,9
2018-03-04,531,1884,11,5
2018-03-04,532,1936,8,8
2018-03-04,533,1983,1,3
2018-03-05,534,1443,11,3
2018-03-05,535,1572,4,8
2018-03-05,535,1572,6,1
2018-03-05,536,1614,2,1
2018-03-05,536,1614,3,2
2018-03-05,537,1779,9,9
